sensor_id,temperature,humidity,gas_resistance,label
0,29.980015,40.642624,17158.177734,toro
1,29.93512,41.485344,14548.760742,toro
2,29.547421,40.079849,20062.695312,toro
3,29.464249,39.690369,19637.925781,toro
4,29.551279,39.031834,23516.443359,toro
5,29.525974,38.940601,27032.734375,toro
6,29.489288,38.776382,20625.201172,toro
7,29.56875,39.30479,14528.944336,toro
0,29.905392,40.491161,364542.53125,toro
1,29.88825,41.311764,317126.03125,toro
2,29.502539,39.962948,425514.21875,toro
3,29.44927,39.587147,464609.8125,toro
4,29.563745,38.896328,501837.78125,toro
5,29.560812,38.825668,831337.5,toro
6,29.471823,38.655895,385179.625,toro
7,29.541162,39.183704,270613.09375,toro
0,30.166565,39.433403,352860.09375,toro
1,30.208942,40.05574,307138.5625,toro
2,29.801752,39.015285,416683.625,toro
3,29.848652,38.653778,449615.8125,toro
4,29.94772,38.053478,484733.71875,toro
5,29.939062,37.925198,797818.4375,toro
6,29.816143,37.85305,376678.3125,toro
7,29.882242,38.325947,264121.75,toro
0,30.579472,36.205143,337508.25,toro
1,30.717117,36.255222,290909.09375,toro
2,30.315405,36.189274,402674.0,toro
3,30.437738,35.74651,424984.4375,toro
4,30.53117,35.446743,465560.34375,toro
5,30.496487,35.218384,744998.1875,toro
6,30.37005,35.252098,355062.40625,toro
7,30.449039,35.670071,253716.546875,toro
0,31.156544,35.89896,59827.0625,toro
1,31.291904,35.8778,53189.277344,toro
2,30.933788,35.890293,73038.515625,toro
3,31.014349,35.466709,72480.179688,toro
4,31.11462,35.179508,86079.351562,toro
5,31.071339,34.92786,110083.851562,toro
6,30.943924,35.013729,73038.515625,toro
7,31.04343,35.406998,51148.851562,toro
0,31.517216,35.530209,60981.417969,toro
1,31.661938,35.427467,54134.066406,toro
2,31.320278,35.573441,74245.9375,toro
3,31.418726,35.128742,73669.0625,toro
4,31.526035,34.860096,87761.398438,toro
5,31.489414,34.627556,112035.007812,toro
6,31.328171,34.66938,74245.9375,toro
7,31.412104,35.092258,51612.902344,toro
0,31.678894,35.159035,62500.0,toro
1,31.846958,35.005512,54759.359375,toro
2,31.504797,35.196194,75227.742188,toro
3,31.608435,34.740421,74570.34375,toro
4,31.725506,34.479069,88673.367188,toro
5,31.683517,34.287796,113074.203125,toro
6,31.512812,34.346046,75694.851562,toro
7,31.602711,34.736866,52696.582031,toro
0,31.972408,34.81916,24502.296875,toro
1,32.165188,34.620953,20330.369141,toro
2,31.838928,34.88052,27222.458984,toro
3,31.935434,34.407169,27789.839844,toro
4,32.084557,34.230549,30955.259766,toro
5,32.002052,34.024448,40050.0625,toro
6,31.857138,34.044773,27222.458984,toro
7,31.956339,34.461601,19213.449219,toro
0,32.325623,34.48571,38392.320312,toro
1,32.567299,34.239582,31928.162109,toro
2,32.25285,34.538879,41939.710938,toro
3,32.3498,34.048195,43170.320312,toro
4,32.585735,34.664364,45911.046875,toro
