sensor_id,temperature,humidity,gas_resistance,label
0,26.741535,35.965458,38288.960938,monastrel
1,26.676462,35.441124,31204.291016,monastrel
2,26.64011,35.674213,46817.847656,monastrel
3,26.556324,35.264671,44290.65625,monastrel
4,27.636404,33.452305,52149.113281,monastrel
5,27.572531,33.262974,61112.4375,monastrel
6,27.627991,33.34243,45861.699219,monastrel
7,27.652704,33.692326,33066.390625,monastrel
0,26.686813,35.850563,1405628.0,monastrel
1,26.641926,35.322594,1186902.375,monastrel
2,26.597723,35.573071,1711659.0,monastrel
3,26.556324,35.160583,1893228.625,monastrel
4,27.661337,33.340179,1837183.25,monastrel
5,27.60737,33.152149,3198750.5,monastrel
6,27.610525,33.243729,1432167.875,monastrel
7,27.620102,33.569996,1034866.125,monastrel
0,26.985287,35.087372,1360797.375,monastrel
1,27.009476,34.5891,1152828.625,monastrel
2,26.949289,34.879379,1667752.5,monastrel
3,26.995626,34.487843,1810386.75,monastrel
4,28.077719,32.665333,1811587.75,monastrel
5,28.020451,32.456417,2989781.0,monastrel
6,28.002243,32.488815,1402739.75,monastrel
7,28.006317,32.841934,1005153.375,monastrel
0,27.437973,32.85976,1320012.875,monastrel
1,27.537365,32.334728,1103448.25,monastrel
2,27.477884,32.668354,1625074.375,monastrel
3,27.597174,32.211216,1726812.875,monastrel
4,28.648687,30.390963,1743349.625,monastrel
5,28.575375,30.255569,2852367.75,monastrel
6,28.543665,30.224783,1355393.75,monastrel
7,28.583136,30.610651,975702.6875,monastrel
0,27.960302,32.592041,166775.25,monastrel
1,28.080063,32.085331,145578.625,monastrel
2,28.06134,32.414543,218756.671875,monastrel
3,28.156292,31.944616,211046.984375,monastrel
4,29.199717,30.141762,244624.9375,monastrel
5,29.122839,29.995554,311909.84375,monastrel
6,29.110041,29.977646,208341.8125,monastrel
7,29.129862,30.358271,144960.359375,monastrel
0,28.30604,32.274265,167101.828125,monastrel
1,28.430349,31.767675,144347.328125,monastrel
2,28.425379,32.095856,218616.5625,monastrel
3,28.525715,31.638168,210266.9375,monastrel
4,29.586185,29.861399,244624.9375,monastrel
5,29.508554,29.710354,311909.84375,monastrel
6,29.46933,29.66223,206701.65625,monastrel
7,29.488495,30.072725,143256.859375,monastrel
0,28.460251,31.928009,167594.109375,monastrel
1,28.612894,31.401403,143016.765625,monastrel
2,28.597424,31.748785,218896.96875,monastrel
3,28.717915,31.287706,211701.46875,monastrel
4,29.770695,29.535707,243925.671875,monastrel
5,29.705145,29.358807,312480.9375,monastrel
6,29.663944,29.332941,208214.71875,monastrel
7,29.681606,29.739672,144469.53125,monastrel
0,28.728882,31.609644,51087.605469,monastrel
1,28.908915,31.074085,40622.023438,monastrel
2,28.934036,31.433968,61156.234375,monastrel
3,29.007462,30.924007,60164.511719,monastrel
4,30.089844,29.216545,67226.890625,monastrel
5,29.986343,29.059664,86515.710938,monastrel
6,29.988302,29.048693,58234.757812,monastrel
7,30.015163,29.424849,40777.316406,monastrel
0,29.077108,31.298914,80025.007812,monastrel
1,29.286341,30.793716,64289.300781,monastrel
2,29.320517,31.096201,94744.632812,monastrel
3,29.414326,30.638933,94482.375,monastrel
4,30.498755,28.916594,103664.710938,monastrel
5,30.391972,28.75477,138941.65625,monastrel
6,30.377537,28.725729,85561.5,monastrel
7,30.406406,29.126402,63241.105469,monastrel
6,30.579639,28.392841,117918.007812,monastrel
0,29.246246,31.218895,113828.367188,monastrel
1,29.476284,30.390554,89323.101562,monastrel
2,29.527475,30.737167,131248.390625,monastrel
3,29.64397,30.259592,131958.765625,monastrel
4,30.728146,28.579323,142538.96875,monastrel
5,30.608471,28.434134,196243.765625,monastrel
7,30.619583,28.88479,87401.84375,monastrel
1,29.577427,29.96929,118162.9375,monastrel
6,30.716869,28.055061,150190.671875,monastrel
0,29.340765,30.589472,148233.9375,monastrel
2,29.649652,30.382317,172158.703125,monastrel
3,29.766277,29.888374,169088.5,monastrel
