sensor_id,temperature,humidity,gas_resistance,label
0,27.865788,35.059322,590371.875,macabeo
1,27.855585,34.723179,462406.875,macabeo
2,27.647436,35.010338,662568.75,macabeo
3,27.592182,34.534199,513154.59375,macabeo
4,28.082706,33.179749,551724.125,macabeo
5,28.050312,32.994202,544246.625,macabeo
6,27.974798,33.01561,510087.1875,macabeo
7,28.036413,33.382603,411906.6875,macabeo
0,27.783707,35.034012,102400000.0,macabeo
1,27.801315,34.712128,102400000.0,macabeo
2,27.595074,35.00518,102400000.0,macabeo
3,27.577206,34.521206,102400000.0,macabeo
4,28.085199,33.157104,102160560.0,macabeo
5,28.077686,32.979668,102400000.0,macabeo
6,27.934875,32.971958,75307096.0,macabeo
7,28.018856,33.35825,59148016.0,macabeo
0,28.074718,34.581261,102400000.0,macabeo
1,28.149134,34.333012,100747120.0,macabeo
2,27.906748,34.575443,102400000.0,macabeo
3,27.986561,34.157589,102400000.0,macabeo
4,28.484131,32.85173,98144512.0,macabeo
5,28.480814,32.630047,102400000.0,macabeo
6,28.339071,32.58268,72017584.0,macabeo
7,28.412598,32.959244,56728848.0,macabeo
0,28.542334,32.668922,102400000.0,macabeo
1,28.6943,32.255032,99034376.0,macabeo
2,28.447819,32.702705,102400000.0,macabeo
3,28.573139,32.267113,102400000.0,macabeo
4,29.20969,36.205273,91371208.0,macabeo
5,29.112885,32.55822,102400000.0,macabeo
6,28.990276,32.222519,68355672.0,macabeo
7,29.054623,31.980558,54296604.0,macabeo
0,29.11442,32.462318,5895646.0,macabeo
1,29.249338,32.017948,5234505.0,macabeo
2,29.063694,32.491009,6687347.0,macabeo
3,29.149738,32.036018,5336808.0,macabeo
4,29.753239,36.859177,5394797.5,macabeo
5,29.685236,32.760338,6036846.0,macabeo
6,29.53919,32.336178,4591928.5,macabeo
7,29.613892,32.037918,3632816.0,macabeo
0,29.480057,32.225197,5740715.0,macabeo
1,29.624298,31.76432,5150581.5,macabeo
2,29.462643,32.236691,6511923.5,macabeo
3,29.551611,31.777502,5244558.5,macabeo
4,30.142202,36.835114,5214513.0,macabeo
5,30.078419,32.717594,5807869.5,macabeo
6,29.908459,32.234077,4501099.0,macabeo
7,29.980053,31.930962,3486699.25,macabeo
0,29.631784,31.928904,5680998.5,macabeo
1,29.80191,31.447657,4990557.5,macabeo
2,29.639679,31.933985,6446586.5,macabeo
3,29.738821,31.471115,5116802.0,macabeo
4,30.321726,36.390003,5126408.0,macabeo
5,30.257593,32.432026,5680998.5,macabeo
6,30.083118,31.960293,4357447.0,macabeo
7,30.153101,31.693497,3423318.0,macabeo
0,29.917831,31.662296,582314.5,macabeo
1,30.102869,31.148314,455313.46875,macabeo
2,29.951361,31.683207,648101.25,macabeo
3,30.050837,31.187836,510468.59375,macabeo
4,30.638386,35.755333,544246.625,macabeo
5,30.53133,32.058899,535704.9375,macabeo
6,30.407476,31.604216,519006.59375,macabeo
7,30.494183,31.376131,412653.625,macabeo
0,30.271036,31.362715,646260.625,macabeo
1,30.497568,30.79031,515479.5,macabeo
2,30.345327,31.384348,735368.0625,macabeo
3,30.452713,30.873367,573991.0625,macabeo
4,31.042313,35.02663,619292.4375,macabeo
5,30.934469,31.624527,591907.5,macabeo
6,30.801702,31.170097,605558.8125,macabeo
7,30.860346,30.999674,490656.4375,macabeo
0,30.435202,31.029381,698499.3125,macabeo
1,30.697384,30.437714,547740.0625,macabeo
2,30.532337,31.133757,795031.0625,macabeo
3,30.674871,30.520445,619292.4375,macabeo
4,31.259241,34.235477,685179.0,macabeo
5,31.148483,31.145199,636024.875,macabeo
6,30.998816,30.730148,671695.625,macabeo
7,31.060986,30.591997,546862.5,macabeo
1,30.833063,30.063238,581818.1875,macabeo
6,31.118582,30.199883,726756.5625,macabeo
0,30.562057,30.676451,741760.25,macabeo
2,30.691919,30.708529,857441.9375,macabeo
3,30.82464,30.14477,648101.25,macabeo
4,31.411337,33.40691,725212.4375,macabeo
5,31.297794,30.621695,667101.0,macabeo
7,31.201431,30.157471,589352.5,macabeo
1,30.406292,29.846706,102400000.0,macabeo
6,30.68693,29.959278,102400000.0,macabeo
0,30.11433,30.51322,102400000.0,macabeo
2,30.248083,30.535387,102400000.0,macabeo
3,30.410282,29.944958,102400000.0,macabeo
4,30.970005,33.019096,102400000.0,macabeo
5,30.884699,30.359085,102400000.0,macabeo
7,30.757519,29.895147,102400000.0,macabeo
1,29.520691,29.179907,102400000.0,macabeo
6,29.831112,29.102066,102400000.0,macabeo
7,29.914846,29.06208,102400000.0,macabeo
0,29.315893,29.868727,102400000.0,macabeo
2,29.340466,29.780815,102400000.0,macabeo
3,29.521658,29.229141,102400000.0,macabeo
4,30.062414,31.591602,102400000.0,macabeo
5,29.971415,29.415295,102400000.0,macabeo
0,29.238785,28.942804,102400000.0,macabeo
1,29.385014,28.250601,102400000.0,macabeo
2,29.248209,28.872303,102400000.0,macabeo
4,29.920294,29.308126,102400000.0,macabeo
6,29.773727,27.893745,102400000.0,macabeo
7,29.877228,28.100697,84480824.0,macabeo
3,29.389364,28.227871,102400000.0,macabeo
5,29.854456,28.06068,102400000.0,macabeo
0,29.900417,28.905222,7918801.5,macabeo
1,30.048595,28.212244,7022717.5,macabeo
2,29.961334,28.812376,8618622.0,macabeo
4,30.600986,29.227102,5481432.0,macabeo
6,30.427439,27.887089,4823079.0,macabeo
7,30.549358,28.151295,3295253.5,macabeo
3,30.073303,28.185097,6942373.0,macabeo
5,30.546259,28.062965,5616729.5,macabeo
0,30.124279,28.775139,7733774.0,macabeo
1,30.300217,28.07884,6753503.5,macabeo
2,30.215668,28.707996,6450393.5,macabeo
4,30.867777,29.020872,4438905.5,macabeo
6,30.661978,27.856789,3701762.25,macabeo
7,30.775076,28.131716,2435196.25,macabeo
3,30.317923,28.100121,5876614.0,macabeo
5,30.812531,27.996597,4523467.5,macabeo
0,30.22875,28.596342,7494968.0,macabeo
1,30.418625,27.939892,6435192.5,macabeo
2,30.340342,28.636429,4958838.0,macabeo
4,30.989954,28.863779,3531795.75,macabeo
6,30.766773,27.804657,2762900.5,macabeo
7,30.875393,28.096127,1880192.75,macabeo
3,30.460201,27.962261,4927519.0,macabeo
5,30.93198,27.912445,3724482.75,macabeo
0,30.651602,28.450085,453800.125,macabeo
1,30.872532,27.82885,145578.625,macabeo
2,30.814102,28.578051,123641.632812,macabeo
3,30.912006,27.877893,102543.5625,macabeo
4,31.473673,28.748899,107721.4375,macabeo
6,31.248327,27.800411,96896.289062,macabeo
7,31.35442,28.081299,64728.191406,macabeo
5,31.37743,27.827772,111668.484375,macabeo
0,30.850592,28.284943,306862.4375,macabeo
1,31.099487,27.715477,76715.609375,macabeo
2,31.050983,28.505035,81710.820312,macabeo
3,31.159124,27.77648,75560.804688,macabeo
4,31.735479,28.603821,70387.679688,macabeo
6,31.510315,27.739197,59953.160156,macabeo
7,31.600201,28.030401,42272.125,macabeo
5,31.633747,27.732864,78479.460938,macabeo
0,30.955063,28.089933,300645.90625,macabeo
1,31.215429,27.537899,80706.179688,macabeo
2,31.175655,28.345846,94534.710938,macabeo
3,31.29891,27.621841,84544.25,macabeo
4,31.890072,28.393866,73605.523438,macabeo
6,31.647547,27.639929,61112.4375,macabeo
7,31.750681,27.905466,44382.800781,macabeo
5,31.768131,27.63888,85647.375,macabeo
0,31.029684,27.892626,246746.984375,macabeo
1,31.294369,27.36293,65173.117188,macabeo
2,31.272903,28.157124,84965.148438,macabeo
3,31.396261,27.463802,73542.085938,macabeo
4,31.979834,28.17305,75427.226562,macabeo
5,31.865183,27.442299,90363.570312,macabeo
6,31.72739,27.447496,65322.785156,macabeo
7,31.85351,27.727139,49373.191406,macabeo
1,30.855265,27.239136,3936569.0,macabeo
0,30.611805,27.770031,30567164.0,macabeo
2,30.819088,28.069883,4381920.5,macabeo
3,30.976904,27.346413,4229220.5,macabeo
4,31.558447,28.004068,3644938.75,macabeo
5,31.464527,27.381651,6825244.5,macabeo
6,31.298229,27.318329,2409411.75,macabeo
7,31.414612,27.608322,1877607.125,macabeo
1,29.949921,26.919498,3580419.5,macabeo
0,29.763615,27.442928,27893594.0,macabeo
2,29.881542,27.708878,3930902.0,macabeo
3,30.035862,27.021893,3845106.75,macabeo
4,30.600986,27.602961,3238584.75,macabeo
5,30.516397,27.03442,6121427.0,macabeo
6,30.404984,26.964987,2111340.25,macabeo
7,30.524281,27.27244,1650614.5,macabeo
1,29.79451,26.841509,3372581.25,macabeo
