sensor_id,temperature,humidity,gas_resistance,label
0,27.035791,49.486904,6164.515625,novell
1,26.930185,48.798622,5684.846191,novell
2,27.094248,48.673824,5684.846191,novell
3,27.028362,49.89925,7359.705566,novell
4,26.95846,51.666935,5684.846191,novell
5,26.992741,49.716137,5684.846191,novell
6,27.032633,51.213112,7309.273438,novell
7,27.111225,51.176167,5684.846191,novell
0,26.980356,49.323006,90172.59375,novell
1,26.954977,48.670364,72173.664062,novell
2,27.121277,48.562027,65826.6875,novell
3,27.040813,49.793705,98121.882812,novell
4,27.000881,51.51944,55041.925781,novell
5,27.029919,49.605289,62637.632812,novell
6,27.062275,51.096542,101627.632812,novell
7,27.143305,51.03471,63100.8125,novell
0,27.257532,48.171387,104170.90625,novell
1,27.351694,47.578922,80477.835938,novell
2,27.475119,47.387989,75029.304688,novell
3,27.476624,48.693584,109729.960938,novell
4,27.435078,50.247784,61068.703125,novell
5,27.458715,48.577518,67976.632812,novell
6,27.494528,49.908009,111522.546875,novell
7,27.545547,49.818554,66030.4375,novell
0,27.718655,45.02322,130645.570312,novell
1,27.904613,44.268013,99321.046875,novell
2,28.02309,43.938442,96731.53125,novell
3,28.081778,45.248322,137155.109375,novell
4,28.048946,46.91436,69189.1875,novell
5,28.021362,45.396721,79800.5,novell
6,28.087337,46.702343,127426.578125,novell
7,28.152615,46.353256,76099.882812,novell
0,28.265453,44.68528,33195.019531,novell
1,28.447622,43.899185,27414.863281,novell
2,28.59318,43.569324,27610.007812,novell
3,28.632147,44.829472,40276.902344,novell
4,28.612909,46.437115,23464.710938,novell
5,28.586493,44.931835,25301.443359,novell
6,28.635691,46.293728,37187.679688,novell
7,28.735006,45.881989,23646.775391,novell
0,28.608149,44.317066,43567.050781,novell
1,28.826986,43.517471,35844.300781,novell
2,28.996174,43.106243,35724.253906,novell
3,29.010685,44.372063,54202.835938,novell
4,29.009684,45.846916,30403.800781,novell
5,28.970682,44.414547,33350.703125,novell
6,29.013611,45.771961,49892.808594,novell
7,29.119984,45.337986,30644.001953,novell
1,29.022867,43.029594,42866.710938,novell
0,28.76186,43.76236,52341.035156,novell
2,29.170643,42.710365,42524.917969,novell
3,29.199955,43.856148,64532.390625,novell
4,29.204327,45.282822,34963.125,novell
5,29.164017,43.763248,39024.390625,novell
6,29.203806,45.203667,57296.328125,novell
7,29.305065,44.764729,35814.214844,novell
1,29.293137,42.575771,8121.827637,novell
0,29.041561,43.448826,9296.919922,novell
2,29.475348,42.045551,7783.994141,novell
3,29.508762,43.355682,12628.255859,novell
4,29.513763,44.70953,8109.478027,novell
5,29.441629,43.298084,7893.438477,novell
6,29.500217,44.39838,11235.955078,novell
7,29.613541,44.311954,7349.563477,novell
1,29.692341,42.143852,11465.424805,novell
0,29.399378,42.932533,13542.107422,novell
2,29.875891,41.529491,10825.439453,novell
3,29.929638,42.863403,18369.689453,novell
