Comparison,Accuracy
air_vs_toro,0.9936708860759493
toro_vs_air,0.9936708860759493
air_vs_garnacha,0.9296296296296296
garnacha_vs_air,0.9296296296296296
air_vs_monastrel,0.9456
monastrel_vs_air,0.9456
air_vs_macabeo,0.9618441971383148
macabeo_vs_air,0.9618441971383148
air_vs_novell,1.0
novell_vs_air,1.0
toro_vs_garnacha,0.9808219178082191
garnacha_vs_toro,0.9808219178082191
toro_vs_monastrel,0.9840490797546012
monastrel_vs_toro,0.9840490797546012
toro_vs_macabeo,0.9572649572649573
macabeo_vs_toro,0.9572649572649573
toro_vs_novell,0.9851351351351352
novell_vs_toro,0.9851351351351352
garnacha_vs_monastrel,0.8283185840707965
monastrel_vs_garnacha,0.8283185840707965
garnacha_vs_macabeo,0.9086115992970123
macabeo_vs_garnacha,0.9086115992970123
garnacha_vs_novell,1.0
novell_vs_garnacha,1.0
monastrel_vs_macabeo,0.9480122324159022
macabeo_vs_monastrel,0.9480122324159022
monastrel_vs_novell,0.9095652173913044
novell_vs_monastrel,0.9095652173913044
macabeo_vs_novell,1.0
novell_vs_macabeo,1.0
